iter	Passed	Remaining
413	8629	1792
414	8659	1773
415	8678	1752
416	8701	1732
417	8716	1710
418	8731	1688
419	8755	1667
420	8783	1648
421	8809	1628
422	8830	1607
423	8851	1586
424	8867	1564
425	8879	1542
426	8891	1520
427	8918	1500
428	8933	1478
429	8948	1456
430	8971	1436
431	8993	1415
432	9012	1394
433	9030	1373
434	9057	1353
435	9089	1334
436	9119	1314
437	9137	1293
438	9161	1273
439	9177	1251
440	9200	1230
441	9226	1210
442	9248	1189
443	9267	1168
444	9292	1148
445	9311	1127
446	9327	1105
447	9345	1084
448	9375	1064
449	9389	1043
450	9404	1021
451	9438	1002
452	9456	981
453	9472	959
454	9494	938
455	9516	918
456	9531	896
457	9546	875
458	9565	854
459	9585	833
460	9596	811
461	9608	790
462	9640	770
463	9666	750
464	9691	729
465	9721	709
466	9744	688
467	9765	667
468	9779	646
469	9791	624
470	9820	604
471	9845	584
472	9863	563
473	9884	542
474	9908	521
475	9934	500
476	9953	479
477	9971	458
478	9986	437
479	9998	416
480	10013	395
481	10036	374
482	10064	354
483	10085	333
484	10103	312
485	10120	291
486	10132	270
487	10151	249
488	10173	228
489	10191	207
490	10209	187
491	10222	166
492	10237	145
493	10252	124
494	10268	103
495	10293	83
496	10320	62
497	10357	41
498	10374	20
499	10395	0
