iter	Logloss
232	0.2969351033
233	0.2960653756
234	0.2953446716
235	0.2942685193
236	0.2929968914
237	0.2913713295
238	0.290675552
239	0.2901660715
240	0.2891160339
241	0.2885470558
242	0.2877992819
243	0.2864255949
244	0.2859782678
245	0.2849266227
246	0.2842548865
247	0.2835506061
248	0.2828689692
249	0.2823694593
250	0.2814047544
251	0.2806506208
252	0.2799724084
253	0.2788576781
254	0.2783767817
255	0.2771907428
256	0.2759867661
257	0.2753687036
258	0.274421028
259	0.2734777087
260	0.2729323525
261	0.2718970612
262	0.270841945
263	0.2702181984
264	0.2695259851
265	0.2685428765
266	0.2681136968
267	0.2671492948
268	0.2667062774
269	0.2662358641
270	0.2653836316
271	0.2646668412
272	0.2641268665
273	0.2635552093
274	0.2629454868
275	0.2623783024
276	0.2613967546
277	0.2605446386
278	0.2599016728
279	0.2593140114
280	0.2587223664
281	0.2582080404
282	0.2577518609
283	0.2571524817
284	0.2565257764
285	0.2556925067
286	0.2551847502
287	0.2538173064
288	0.2532585552
289	0.2522605139
290	0.2517853016
291	0.2507015782
292	0.2498845923
293	0.2488846641
294	0.2483031295
295	0.247479248
296	0.2463220028
297	0.2458614204
298	0.24524825
299	0.244633845
300	0.2434701235
301	0.2429437768
302	0.2425531052
303	0.2417432013
304	0.2412873246
305	0.2407187658
306	0.2402028557
307	0.2393636456
308	0.2390045632
309	0.2381058788
310	0.2373733637
311	0.2368825199
312	0.2363253761
313	0.2358357437
314	0.2353611371
315	0.2345673306
316	0.2338683616
317	0.2334169344
318	0.2323278995
319	0.2316935532
320	0.2309615274
321	0.2304632522
322	0.2297570148
323	0.229069321
324	0.2286576366
325	0.2281522562
326	0.2274295021
327	0.2270239211
328	0.2265832333
329	0.2257812034
330	0.2250344546
331	0.2246082335
332	0.2240328024
333	0.2231537331
334	0.2227374128
335	0.2224686251
336	0.2220499053
337	0.2215320383
338	0.221026425
339	0.2202161017
340	0.2194539077
341	0.2183091957
342	0.2178054693
343	0.2169049212
344	0.2165642425
345	0.2156191294
346	0.2149511905
347	0.2144687798
348	0.2139559214
349	0.2134833416
350	0.2126775611
351	0.2120752233
352	0.2114860942
353	0.2108290811
354	0.2103653071
355	0.2101233562
356	0.209651452
357	0.209160282
358	0.2084178197
359	0.2079144893
360	0.2073155061
361	0.2066994238
362	0.2060044849
363	0.2055478627
364	0.2050452778
365	0.2045167413
366	0.2040763564
367	0.2035341685
368	0.2030115492
369	0.2027694353
370	0.2024503519
371	0.2021837074
372	0.2016353229
373	0.2008400255
374	0.2006334378
375	0.2001191583
376	0.1998291482
377	0.1987273937
378	0.1981870229
379	0.1976744674
380	0.1971880265
381	0.1965612513
382	0.1962273285
383	0.1956099649
384	0.1951897774
385	0.1948859411
386	0.1947261432
387	0.1941811598
388	0.1936875904
389	0.1927818939
390	0.1924851396
391	0.1919275182
392	0.1916359006
393	0.1912191959
394	0.1908305394
395	0.1901681449
396	0.1895374444
397	0.188869354
398	0.1885736829
399	0.1881130539
400	0.187596771
401	0.1870847746
402	0.1865898889
403	0.1862934375
404	0.1857764674
405	0.1852256717
406	0.1847537907
407	0.1843561536
408	0.1839938331
409	0.183502803
410	0.183149067
411	0.1829519024
412	0.1826215438
413	0.1822741909
414	0.1816927378
415	0.1809707292
416	0.1807132867
417	0.1802768387
418	0.1798318877
419	0.1793384115
420	0.17891869
421	0.1787597773
422	0.1783338125
423	0.1777373103
424	0.1769739515
425	0.1766537732
426	0.1761036065
427	0.175582746
428	0.1752284625
429	0.1749161
430	0.1741628632
431	0.1736432025
432	0.173010813
433	0.1726037411
434	0.1722400811
435	0.1718577145
436	0.171296191
437	0.1710377235
438	0.1705641069
439	0.1700663326
440	0.1695479531
441	0.168871255
442	0.1686622678
443	0.1684883642
444	0.1679141561
445	0.1676361899
446	0.1673629761
447	0.1667851572
448	0.1663570841
449	0.1659756027
450	0.1656085298
451	0.1653534169
452	0.164927254
453	0.1642466771
454	0.1635665544
455	0.1630553966
456	0.1626481034
457	0.1621757915
458	0.1616339764
459	0.1611125567
460	0.1606472802
461	0.1603333917
462	0.1597756539
463	0.159521531
464	0.158902525
465	0.1582827852
466	0.1579709468
467	0.1576264825
468	0.1572772194
469	0.1568408995
470	0.1564837973
471	0.1561773402
472	0.155825165
473	0.1554240685
474	0.1551009084
475	0.1548345435
476	0.154434041
477	0.1539993053
478	0.1536807344
479	0.1534226629
480	0.1531431941
481	0.1529787253
482	0.1523782279
483	0.1518807448
484	0.1515117849
485	0.1511969297
486	0.1509081891
487	0.1504660337
488	0.1501821853
489	0.1497759637
490	0.1494053964
491	0.1492239683
492	0.1487853538
493	0.1485254768
494	0.1482095849
495	0.1480016228
496	0.1474979663
497	0.1472284448
498	0.1468136271
499	0.1464525994
