iter	Logloss
0	0.6846370318
1	0.6772993947
2	0.671105957
3	0.6662022714
4	0.6592098789
5	0.6529495356
6	0.64752775
7	0.6432320864
8	0.6389627471
9	0.6346266419
10	0.6306236675
11	0.6252475418
12	0.6197345297
13	0.6148444955
14	0.6086353098
15	0.6051235053
16	0.6027672688
17	0.5989858846
18	0.5948503567
19	0.5914687761
20	0.5873496019
21	0.583565795
22	0.5797162471
23	0.577801933
24	0.5747027448
25	0.5724077298
26	0.5683013217
27	0.5645668554
28	0.5613271932
29	0.5593301788
30	0.5568290419
31	0.554265379
32	0.5516360683
33	0.5489787094
34	0.5468958731
35	0.5441425819
36	0.5411845666
37	0.5396123755
38	0.536912525
39	0.5327451284
40	0.5306232482
41	0.5287625611
42	0.5267364269
43	0.5245341294
44	0.5216831353
45	0.5201412288
46	0.5184516266
47	0.5168465418
48	0.5155956472
49	0.5140683706
50	0.5115465004
51	0.5094558832
52	0.5081661312
53	0.5059257682
54	0.5050493313
55	0.503080039
56	0.5019844346
57	0.5008092982
58	0.4991331144
59	0.4969640368
60	0.4947905795
61	0.4931537191
62	0.4904849453
63	0.4885540911
64	0.4870160052
65	0.4855603866
66	0.4839163045
67	0.4822300103
68	0.4808757753
69	0.4792226544
70	0.4776258629
71	0.4757625667
72	0.4738693587
73	0.4720799104
74	0.47025864
75	0.4690828513
76	0.4673262967
77	0.4658259035
78	0.4643711236
79	0.4631767914
80	0.4611452059
81	0.4601130129
82	0.4583471866
83	0.4560880006
84	0.455624972
85	0.453667747
86	0.4526577782
87	0.4512063529
88	0.4491364224
89	0.4481094011
90	0.4468238889
91	0.4456495445
92	0.4446980484
93	0.4436101316
94	0.4426074778
95	0.4416523475
96	0.4400490797
97	0.4388820969
98	0.4382515245
99	0.4358906753
100	0.4344972567
101	0.4335117486
102	0.4318145053
103	0.4309526516
104	0.4290933624
105	0.427164931
106	0.4263190117
107	0.4245188939
108	0.4232216406
109	0.4212768555
110	0.4204402079
111	0.4196334722
112	0.4183244778
113	0.4174819597
114	0.4158709111
115	0.4149537996
116	0.4131367225
117	0.4119354481
118	0.4098398922
119	0.4092549797
120	0.4077519774
121	0.4065206513
122	0.4056536725
123	0.4042314136
124	0.4035517336
125	0.4014049734
126	0.4004787299
127	0.4000013512
128	0.3987285119
129	0.3976697616
130	0.3968811501
131	0.3959805321
132	0.3951162557
133	0.3944758059
134	0.3931495259
135	0.3921712861
136	0.390795153
137	0.3900218236
138	0.3885295373
139	0.3874739785
140	0.3867560234
141	0.3857973987
142	0.384050279
143	0.383214307
144	0.3825754879
145	0.3819646238
146	0.381347004
147	0.3802943572
148	0.3792039944
149	0.3777061171
150	0.3762846037
151	0.3751178305
152	0.3737395075
153	0.3716578127
154	0.3707469212
155	0.3700009412
156	0.368948108
157	0.3682082315
158	0.3670046275
159	0.3664840116
160	0.3654696632
161	0.3635348953
162	0.3627140191
163	0.3617368276
164	0.3607981675
165	0.3596859299
166	0.3583592073
167	0.3574082469
168	0.3561904791
169	0.3553305124
170	0.3542668699
171	0.3534889978
172	0.3527971806
173	0.3519844812
174	0.3512186298
175	0.3500814656
176	0.3496544292
177	0.3484678312
178	0.3471153667
179	0.3458016898
180	0.3449487584
181	0.3443554827
182	0.3437153358
183	0.3419480884
184	0.3411472932
185	0.3401795365
186	0.3389981335
187	0.3381640718
188	0.3371710158
189	0.3365947927
190	0.3353331122
191	0.3344377125
192	0.3334659023
193	0.3324930904
194	0.3317261907
195	0.3310745356
196	0.3303742387
197	0.3289333198
198	0.3280781287
199	0.3271233013
200	0.3260307953
201	0.3256921433
202	0.3246451807
203	0.3240729412
204	0.3225919068
205	0.3216098465
206	0.3210081144
207	0.3199077111
208	0.318886374
209	0.3180663597
210	0.3172704333
211	0.3164572912
212	0.3153443548
213	0.3146000054
214	0.3134118932
215	0.3123044312
216	0.3116134294
217	0.3099989563
218	0.3090019867
219	0.3082845207
220	0.3071337751
221	0.3063506614
222	0.3055410604
223	0.3047260314
224	0.3038178189
225	0.3032205363
226	0.3020232455
227	0.3008339452
228	0.2999957369
229	0.2991958735
230	0.2984254327
231	0.2979697657
